subject_id,time,microbe,log_abundance,time_numeric,site,age_group,age_numeric
S1,T8,QML0000-240606-04B_bin.12.orig,-18.420680743952367,10,gut,old,1
S1,T8,QML0000-240606-04B_bin.17.strict,-4.713842951264074,10,gut,old,1
S1,T8,QML0000-240606-05B_bin.26.strict,-18.420680743952367,10,gut,old,1
S1,T8,QML0000-240606-05B_bin.6.orig,-3.665319400268889,10,gut,old,1
S1,T8,QML0000-240606-07B_bin.13.strict,-18.420680743952367,10,gut,old,1
S1,T8,QML0000-240606-07B_bin.18.orig,-10.044356635981536,10,gut,old,1
S1,T8,QML0000-240616-01B_bin.36.strict,-6.793262081403396,10,gut,old,1
S1,T8,QML0000-240616-04B_bin.25.strict,-9.224331379867424,10,gut,old,1
S1,T8,QML0000-240616-05B_bin.10.strict,-4.529265933938386,10,gut,old,1
S1,T8,QML0000-240616-05B_bin.9.strict,-8.549626713297027,10,gut,old,1
S1,T8,QML0000-240616-06B_bin.2.strict,-10.375392154098344,10,gut,old,1
S1,T8,QML0000-240616-06B_bin.27.permissive,-8.916134286760471,10,gut,old,1
S1,T8,QML0000-240616-08B_bin.56.permissive,-9.130537895789253,10,gut,old,1
S1,T8,QML0000-240616-10B_bin.9.strict,-18.420680743952367,10,gut,old,1
S1,T8,QML2500-240411-09B_bin.11.permissive,-6.000894961296455,10,gut,old,1
S1,T8,QML2500-240411-09B_bin.27.strict,-5.401612881232822,10,gut,old,1
S1,T8,QML3650-240319-06B_bin.10.strict,-18.420680743952367,10,gut,old,1
S1,T8,QML3650-240319-06B_bin.36.permissive,-18.420680743952367,10,gut,old,1
S1,T8,QML3650-240319-06B_bin.71.permissive,-8.572222892635793,10,gut,old,1
S1,T8,QML3650-240329-05B_bin.56.orig,-9.478510259940983,10,gut,old,1
S1,T8,QML3800-240416-01B_bin.36.strict,-7.408653425177358,10,gut,old,1
S1,T8,QML3800-240416-05B_bin.21.strict,-8.393917268074487,10,gut,old,1
S1,T8,QML5200-240418-03B_bin.31.strict,-9.140947503638195,10,gut,old,1
